Lat, Lon
32.709839,-117.158807
32.71413,-117.156014
32.718463,-117.15138
32.721568,-117.159877
32.726803,-117.161593
32.725034,-117.168417
32.728716,-117.160864
32.735828,-117.171807
32.737091,-117.159963
32.724889,-117.145114
32.718282,-117.149019
32.715538,-117.142968
32.709977,-117.139277
32.70615,-117.137733
32.701924,-117.141809
32.696291,-117.142239
32.69351,-117.13563
