latitude,longitude,FID,OBJECTID,LABEL,NOTES,TYPE,ELEVATION,DEPTH,PROXIMITY,TEMPERATUR,WAYPOINT,COMMENT,LONGITUDE,LATITUDE,URL
-87.57278460,33.19234120,134,141,Friendship Baptist Church, ,Church,190.290000,0.000000,0.000000,0.000000, , ,-87.572780,33.192340, 
-87.56306220,33.19234120,135,142,South Side Second Presbyterian Church (historical), ,Church,193.570000,0.000000,0.000000,0.000000, , ,-87.563060,33.192340, 
-87.56306220,33.19261900,136,143,Faith Mission Church of God, ,Church,200.130000,0.000000,0.000000,0.000000, , ,-87.563060,33.192620, 
-87.59806320,33.19373010,139,146,Oakdale Primitive Baptist Church, ,Church,160.760000,0.000000,0.000000,0.000000, , ,-87.598060,33.193730, 
-87.58028490,33.19373010,140,147,Tabernacle Baptist Church, ,Church,187.010000,0.000000,0.000000,0.000000, , ,-87.580280,33.193730, 
-87.57389580,33.19373010,141,148,Church of God in Christ, ,Church,200.130000,0.000000,0.000000,0.000000, , ,-87.573900,33.193730, 
-87.57167350,33.19373010,142,149,Triumph Church, ,Church,190.290000,0.000000,0.000000,0.000000, , ,-87.571670,33.193730, 
-87.56972900,33.19400780,143,150,Weeping Mary Baptist Church, ,Church,187.010000,0.000000,0.000000,0.000000, , ,-87.569730,33.194010, 
-87.53806150,33.19400780,144,151,Forest Lake Baptist Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.538060,33.194010, 
-87.55222850,33.19428560,145,152,Nineteenth Street Church of Christ, ,Church,203.410000,0.000000,0.000000,0.000000, , ,-87.552230,33.194290, 
-87.58139600,33.19428570,146,153,West Highland Baptist Church, ,Church,180.450000,0.000000,0.000000,0.000000, , ,-87.581400,33.194290, 
-87.55306190,33.19484110,147,154,Truevine Baptist Church, ,Church,213.250000,0.000000,0.000000,0.000000, , ,-87.553060,33.194840, 
-87.58139600,33.19484120,148,155,New Home Church of God in Christ, ,Church,180.450000,0.000000,0.000000,0.000000, , ,-87.581400,33.194840, 
-87.54000590,33.19511880,149,156,Forest Lake United Methodist Church, ,Church,226.380000,0.000000,0.000000,0.000000, , ,-87.540010,33.195120, 
-87.54833950,33.19539660,150,157,Morning Star Baptist Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.548340,33.195400, 
-87.57834030,33.19539670,151,158,Miracle House of Prayer, ,Church,200.130000,0.000000,0.000000,0.000000, , ,-87.578340,33.195400, 
-87.56500660,33.19539670,152,159,Truevine Primitive Baptist Church, ,Church,190.290000,0.000000,0.000000,0.000000, , ,-87.565010,33.195400, 
-87.55056180,33.19567440,153,160,Saint John Baptist Church, ,Church,209.970000,0.000000,0.000000,0.000000, , ,-87.550560,33.195670, 
-87.57834030,33.19567450,154,161,Bethlehem Spiritual Church, ,Church,200.130000,0.000000,0.000000,0.000000, , ,-87.578340,33.195670, 
-87.57528470,33.19567450,155,162,Nineteenth Street Pentecostal Church, ,Church,200.130000,0.000000,0.000000,0.000000, , ,-87.575280,33.195670, 
-87.50944950,33.19622980,157,164,Temple Baptist Church, ,Church,282.150000,0.000000,0.000000,0.000000, , ,-87.509450,33.196230, 
-87.56389550,33.19623000,158,165,Double Portion Baptist Church, ,Church,209.970000,0.000000,0.000000,0.000000, , ,-87.563900,33.196230, 
-87.57278470,33.19650780,159,166,Christ Lutheran Church, ,Church,196.850000,0.000000,0.000000,0.000000, , ,-87.572780,33.196510, 
